"baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneID","DE"
1057.20402218424,-4.48901590461952,0.296172835862693,4.55289264761022e-53,9.63262001587248e-51,"gene:AT5G51830","Down Regulated"
557.590021968656,-7.71275988714978,0.512457395604003,4.25948245279964e-52,8.91389300692951e-50,"gene:AT3G09010","Down Regulated"
651.154736705744,-7.83215018715289,0.52121105655703,5.63666197125124e-52,1.16691024658602e-49,"gene:AT1G69890","Down Regulated"
500.141086515385,-7.88393361836667,0.52492033534302,6.09995144854978e-52,1.24938686424393e-49,"gene:AT5G27420","Down Regulated"
689.036356011234,-8.01006968712437,0.534723123581647,1.01318163914904e-51,2.0533459051091e-49,"gene:AT5G66640","Down Regulated"
869.040684267126,-9.74850594140884,0.658822510533882,3.35939662662502e-51,6.7373399221262e-49,"gene:AT5G42830","Down Regulated"
537.957868099734,-5.75086434971165,0.38606054764344,8.02116417042886e-51,1.59207704920894e-48,"gene:AT4G04490","Down Regulated"
830.889791918851,-4.62553864916541,0.313459575508463,2.28048328542328e-50,4.4802188463525e-48,"gene:AT3G08720","Down Regulated"
1274.40325448464,-3.83423088149065,0.261136981132648,2.45061768717046e-50,4.76583255869625e-48,"gene:AT3G48090","Down Regulated"
1024.02824374809,-5.32441187061469,0.361300587363397,6.91954533799648e-50,1.33222006392446e-47,"gene:AT1G72330","Down Regulated"
